nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,yield,yield_std,plaque_name,well_1
0.033,0.0068,50,0.026,10,2,0.15,0.1,3,0.15,0.02,0.4,50,0.075,4,10,0.8384,0.0345,DH5,D2
0.165,0.0068,50,0.026,10,2,0.15,0.1,9,0.15,0.02,0.4,50,0.375,12,10,1.1762,0.0724,DH5,D3
0.099,0.0204,50,0.078,10,2,0.15,0.5,3,0.45,0.1,1.2,50,0.225,4,10,0.7451,0.0399,DH5,D4
0.033,0.0204,50,0.078,10,2,0.15,0.5,9,0.45,0.06,2,50,0.225,12,10,0.8491,0.0279,DH5,D5
0.33,0.068,0,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,40,10,0,0.013,DH5,D6
0.33,0.068,50,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,40,10,0.3002,0.0213,DH5,D7
0.165,0.034,50,0.026,10,2,0.75,0.5,15,0.45,0.02,2,50,0.225,20,10,1.6899,0.1041,DH5,M2
0.099,0.034,50,0.026,10,2,0.75,0.3,15,0.75,0.02,1.2,50,0.375,20,10,1.844,0.0968,DH5,M3
0.165,0.0204,50,0.078,10,2,0.75,0.5,9,0.15,0.02,0.4,50,0.375,20,10,1.788,0.1904,DH5,M4
0.033,0.0068,50,0.026,10,2,0.75,0.3,15,0.75,0.02,2,50,0.375,12,10,1.966,0.0567,DH5,M5
0.165,0.068,50,0.026,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,1.6001,0.0922,DH5,M6
0.099,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10,1.7165,0.0451,DH5,M7
0.033,0.0204,50,0.078,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,1.8797,0.1123,DH5,M8
